AppName,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,global_hit_rate,local_hit_rate,gst_requested_throughput,gld_throughput,local_memory_overhead,tex_cache_hit_rate,tex_cache_throughput,l2_tex_write_throughput,sysmem_write_throughput,shared_store_throughput,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,l2_utilization,ldst_fu_utilization,flop_dp_efficiency
parboil_cutcp,0.999871876078,0.918868314839,0.842213548112,0.0,0.2492559375,0.125,0.575090683174,0.0,0.00168252660603,0.0152620475261,0.0,0.526289319891,0.00490219596453,0.000969822204822,0.0,0.0111186960292,1.0,0.293926982114,0.766844938627,0.0222652822314,0.0,0.0367603891787,0.0654076118121,0.0,0.2,0.0
cudasdk_vectorAdd,1.0,0.999795829677,0.950716223462,0.0,0.24992003125,0.12496,0.575090683174,0.0,0.174013602867,0.154045157103,0.0,0.526289319891,0.0494795699078,0.10030287509,0.759999996645,0.0,1.0,0.0646002744888,0.118515309633,0.503841180782,0.0,0.0,0.218822640647,0.2,0.2,0.0
poly_3mm,1.0,1.0,0.999280908409,0.0,0.18756096875,0.125,0.670814492883,0.0,1.8218063911,1.00954411134,0.0,0.578877169736,0.518524354112,1.05010422102,0.0,0.0,1.0,0.0140928964245,0.0215655805412,0.990885691488,0.00534840469931,0.0,0.0141218554901,1.8,0.2,0.0
poly_gesummv,1.0,1.0,0.999960103227,0.0,0.45832484375,0.125,0.18299210711,0.0,0.199958562207,0.818603232187,0.0,0.222672274441,0.0852790948402,0.115257763519,0.0,0.0,1.0,0.0199516583189,0.0088475548042,0.997188765135,0.0,0.0,0.0189367824054,1.0,0.2,0.0
rodinia_gaussian,1.0,0.856630823226,0.854241346449,0.0,0.15208334375,0.25,0.456399902419,0.0,0.000471206130326,0.00127859127824,0.0,0.377500213726,0.0002732295988,0.000986886525439,1.04000000056,0.0,0.3049696,0.273561756686,0.16057976822,0.161200244304,0.0,0.0,0.0596285386313,0.0,0.2,0.0
cudasdk_matrixMul,1.0,1.0,0.997860603937,0.0,0.25,0.125,0.575090683174,0.0,0.024995724393,0.221298617965,0.0,0.526289319891,0.0710814974259,0.0144077415804,0.0136533332819,0.0782695116082,1.0,0.0451819159536,0.544862730378,0.0925489938333,0.0,0.163924634483,0.348239298925,0.2,0.8,0.0
poly_bicg,1.0,1.0,0.999906838713,0.0,0.5625,0.125,0.670939126536,0.0,0.191528678313,0.699227192737,0.0,0.578913115296,0.0544465024519,0.110398708955,0.0,0.0,1.0,0.0155934772641,0.00670605847596,1.00417055979,0.0,0.0,0.01792667431,0.8,0.2,0.0
poly_syr2k,1.0,1.0,0.999923994841,0.0,0.56246184375,0.125,0.0958744489625,0.0,0.0388945515273,0.283942112486,0.0,0.131610875402,0.0221116024392,0.022419140109,0.0,0.0,1.0,0.00651323673789,0.0594633295967,0.705075967412,0.434833812212,0.0,0.173852979663,0.2,0.2,0.0
shoc_lev1GEMM,1.0,1.0,0.996514993656,0.0,0.25,0.2,0.575090683174,0.0,0.0272772605337,0.144891341199,0.0,0.526289319891,0.0232693316442,0.0157228378187,0.0800000011185,0.0342303470106,1.0,0.623553950145,0.8859120753,0.121272101929,0.0,0.23611634206,0.10137313816,0.0,0.2,0.599421418884
lonestar_sssp,1.0,0.999991101935,0.920620544394,0.0,0.2612583125,0.1249971875,0.433878776175,0.0,0.877433019077,0.718428452739,0.0,0.526289319891,0.160037581736,0.505759624897,0.173333331096,0.0,1.0,0.0808004954269,0.179262134983,0.819199059902,0.0,0.0,0.160810025957,1.0,0.2,0.0
poly_covariance,1.0,1.0,0.999560175497,0.0,0.3046875,0.98509615625,0.567717721569,0.0,0.36620240821,0.400160596339,1.86550875782e-07,0.519545395917,0.104127476278,0.257256293873,0.0666666722591,0.0,0.82051282,0.022581435292,0.0486795549368,1.01382692758,0.0,0.0,0.0404921791238,0.6,0.2,0.0
parboil_stencil,1.0,0.987276325161,0.683269780131,0.0,0.1973059375,0.125,0.553149524383,0.0,0.128320215298,0.0981273280135,0.0,0.513821136449,0.0315186668482,0.0751396684552,0.0533333294186,0.0221133066579,0.984375,0.110098720363,0.280398693842,0.522297993871,0.0,0.116198537546,0.0301356864761,0.0,0.2,0.0
