KernelName,ipc,issued_ipc,inst_per_warp,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,dram_read_transactions,dram_write_transactions,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,dram_read_throughput,dram_write_throughput,tex_cache_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_read_transactions,l2_write_transactions,l2_tex_write_hit_rate,l2_tex_read_throughput,l2_tex_write_throughput,l2_tex_read_transactions,l2_tex_write_transactions,l2_read_throughput,l2_write_throughput,l2_atomic_throughput,l2_atomic_transactions,eligible_warps_per_cycle
"[[ cuSolverSp_LinearSolver ]] void stable_sort_by_key_local_core<int=256, int=4>(int, int, int*, int*, int*, int*)",0.257028040741,0.256498942319,5.56071349864e-06,0.0105657055182,0.0267488493017,0.0,0.0,0.26545675,0.1296534375,0.00490440991421,0.00338457704056,0.0,0.0,0.000276378322596,0.00321057249415,0.00552170233412,0.0251034489804,0.292106089291,0.479888740842,0.161644796444,0.409668390195,0.520901659969,0.476678240417,0.0894725152096,0.0,0.0,0.098028859934,0.276348835114,0.000162341628733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087141349118,0.00087490481612,0.67036598,0.0,0.0,0.000301975452422,0.0,2.58668317831e-05,0.000339170581518,0.000649559317475,0.107916666667,0.00084944684076,0.000105657428816,0.000105657428816,0.000551552135972,0.00110745666633,0.0,0.0,0.00034200184335,0.00320542317618,0.99739093,0.262342570328,0.303517365912,0.000342101530399,0.00320605713075,0.26245281158,0.303529600434,0.0,0.0,0.131060664975
"[[ cuSolverSp_LinearSolver ]] void set_identy<int=128>(int, int*)",0.248427361582,0.264149495,4.33599248669e-07,0.0,0.0,0.0,0.0,0.0,0.13116896875,0.0,0.0,0.0,0.0,0.0,0.000683894245623,4.53562505076e-07,0.00483117480962,0.0,0.913888652622,0.0,0.819477121939,0.00041403476651,0.861484749119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124854907031,0.000125766899548,0.0,0.0,0.0,4.38809832909e-05,0.0,1.39962586816e-05,1.30288026831e-05,0.000221981056335,0.0,0.000133217602499,7.83965520349e-05,7.83965520349e-05,5.85862031424e-05,0.000121870541489,0.0,0.0,8.30853216027e-08,0.000682797373047,0.09885532,0.0,0.607138708842,0.0,0.000682932413723,0.000937803832435,0.607236565315,0.0,0.0,0.140034302531
"[[ cuSolverSp_LinearSolver ]] void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",0.503185045948,0.50213158064,6.89729794306e-05,0.0105657055182,0.0209104768745,0.0,0.0,0.29682115625,0.0313561875,0.000895499388685,0.0015810748864,0.0,0.0,0.000155662319223,0.000171541316687,0.00276216325859,0.00219563343288,0.320052917688,0.00782463395248,0.203161760229,0.0475907474136,0.566557346461,0.0906450838665,0.0980365290733,0.0,0.0,0.0995653216644,0.109707720976,8.18129855155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000218701949822,0.000771100397398,0.000774957707122,0.99475066,2.82517333027e-06,0.0,0.000179366108046,0.000865650969529,0.0001770335056,0.000129345061256,0.000305701158104,0.0,0.000698910949936,0.00108159591102,0.00108159591102,0.000197454658125,0.000490955826926,0.0,0.0,0.000197943225507,0.000171266187942,0.97424056,0.329722821541,0.035259294206,0.000197754741606,0.000171300060219,0.330308985392,0.0352776427051,0.0,0.0,0.223394322291
"[[ cuSolverSp_LinearSolver ]] void convert_CsrToCoo_kernel<int=0>(int const *, int, int, int*)",0.528729260543,0.523297911505,5.34976313997e-05,0.0,0.0,0.0,0.0,0.125,0.13060034375,0.0,0.0,0.0,0.0,0.000122131198637,0.00191602003301,2.60474467201e-05,0.0127699506816,0.0249228242566,0.697048971951,0.103853108164,0.710930596366,0.00731461428874,0.705115167459,0.244313653178,0.0,0.0,0.0,0.0,0.000152444189715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598243807985,0.000600772814871,0.0,0.0,0.0,0.0002220334994,0.0,0.000155647893929,9.23636333845e-05,0.000135722207513,0.0,0.000605615469136,0.000738813276647,0.000738813276647,0.000244621327941,0.000235370476018,0.0,0.0,7.55623233921e-05,0.00191294699965,0.53674829,0.16854913942,0.52671816308,7.55870966484e-05,0.00191332533394,0.168692662654,0.526748746101,0.0,0.0,0.257237245637
"[[ cuSolverSp_LinearSolver ]] void csrchol_byLevel_binarySearchFree<double, double, int=5, int=3>(int, double*, int const *, int const *, int*, int*, int*, int*, int*, int*, int*, int)",0.26770537094,0.268785399078,0.00123947467839,0.0137508959322,0.0415249868593,0.0,0.0,0.138687875,0.0383483125,0.45330915745,0.322953050465,0.0,0.0,0.276446515314,0.0158337001297,0.0316198184655,0.0483994892981,0.165715365998,0.00244585986717,0.248294599381,0.00515647571302,0.00761363939855,0.00234037512306,0.418887914229,0.0,0.0,0.0233418844213,0.063739917218,0.304562024051,0.251924731055,0.679356370174,0.186677774445,0.323158249437,0.0,0.0,0.0,0.0,0.0121302338787,0.36055679064,0.382101135183,0.51812989,0.000311095543065,0.301513074544,0.275974392484,0.000140893712488,0.229669069749,0.224020049892,0.847692471395,0.00271267361111,0.397556108216,0.385062998644,0.385062998644,0.318743422426,0.325699414942,0.135478510098,0.186929759087,0.215712947601,0.0160060415624,0.89380317,0.413249191299,0.00382035803412,0.215942574941,0.0158114315436,0.413057947875,0.00387046109338,0.000178655097809,0.114451396307,0.10879142076
"[[ cuSolverSp_LinearSolver ]] void stable_sort_by_key_merge_core<int=256, int=4>(int, int*, int*, int*, int*, int*, int*)",0.155273492453,0.155130200492,3.44270910889e-06,0.0105657055182,0.00261380960931,0.0,0.0,0.2133080625,0.1521331875,5.55645961582e-05,0.00039241472934,0.0,0.0,0.000277521775943,0.00365169634187,0.00552733946811,0.0255226235581,0.28564228932,0.467904704281,0.159065778976,0.454766087387,0.508906506062,0.472998330642,0.0880059427797,0.0,0.0,0.011091338936,0.00305343483839,0.000163610726612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000543163016696,0.00054570882474,1.34027778,0.0,0.0,0.000189373127705,0.0,2.58668317831e-05,0.000144675950573,0.000478432807498,0.0,0.000537165215066,0.000144867037091,0.000144867037091,0.000372358665643,0.000487919015815,0.0,0.0,0.000344787089926,0.00364583952175,0.48141488,0.258156935614,0.336929595384,0.000344932267168,0.00364656057994,0.258235764008,0.336941829906,0.0,0.0,0.0704091928654
"[[ cuSolverSp_LinearSolver ]] void cusparseIinclusive_scan_domino_v1_core<int=256, int=4>(int, int*, int*, int*, int*, int*)",0.102190926366,0.104344737623,4.44391748218e-06,0.0105657055182,0.0184211264236,0.0,0.0,0.0009765625,0.00360578125,1.5434610044e-06,1.80445962253e-06,0.0,0.0,7.63319991482e-10,5.28144447929e-08,1.65226341135e-06,2.85459389796e-06,1.29024154097e-05,4.23525488806e-05,3.02394949806e-05,0.000245143925785,0.00575048293117,0.00206124781739,3.75442624926e-05,0.0,0.0,0.00187550298736,0.00312037719289,1.90555237144e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04133737136e-06,1.05847016251e-06,0.61700581,0.0,0.0,2.89369114437e-07,0.0,1.16466916259e-07,8.0236359658e-08,1.46377485902e-06,0.000636815200617,8.64140099726e-07,3.71698020634e-07,3.71698020634e-07,2.94223080886e-07,1.26122781641e-06,1.20425342309e-05,0.186929759087,1.05744954767e-07,7.0306316889e-08,0.66666667,4.90774031281e-05,0.000181623577519,1.88967741621e-09,5.27401663235e-08,0.00420376021347,0.00060749955828,0.000229699422938,1.01734574495e-05,0.0334915397373
"[[ cuSolverSp_LinearSolver ]] void csrsv2_analysis_lower_nontranspose_kernel<int=5, int=3>(int, int const *, int const *, int*, int, int*, int*, int*, int)",0.0966302846927,0.0998631744712,4.17290583375e-05,0.0104726850468,0.0209104768745,0.0,0.0,0.25894865625,0.03125,0.00134543912905,0.00786103628128,0.000507989898561,0.00142218174212,0.0177696191966,0.00017604814931,0.00283262743349,0.00229434228504,0.530870033526,9.52932433082e-05,0.295104129831,0.000642446154002,0.00765964327088,0.00124533722465,0.151020329376,0.000119756948398,0.000335001153247,0.00637514414367,0.00217366574399,0.00978518006873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121504110767,0.0123518125814,0.64510681,0.0,0.0,0.025378941854,0.0,0.0268407674311,0.0249027964967,0.10500144982,0.387309510031,0.0127603070394,0.016098318333,0.016098318333,0.0105257610343,0.0113933261404,0.135478510098,0.186929759087,0.022542932277,0.000472950593712,0.9702279,0.485858828495,0.000720231430132,0.0226251851811,0.000266900401708,0.48438573199,0.00128389081566,0.00216938340318,0.114451396307,0.0369368732694
"[[ cuSolverSp_LinearSolver ]] void csrsv2_analysis_upper_nontranspose_kernel<int=5, int=3>(int, int const *, int const *, int*, int, int*, int*, int*, int)",0.10111039689,0.102748079388,4.22892649348e-05,0.0105494765945,0.0209104768745,0.0,0.0,0.25899609375,0.03125,0.00134543912905,0.00789892993335,0.000595694420865,0.00193145664829,0.0180854634527,0.00017604814931,0.00282906372809,0.00232439064186,0.567340767463,9.52932433082e-05,0.305768012753,0.000659352635005,0.0078666606481,0.0012990155466,0.157452022493,0.000145791066903,0.000466374152629,0.00659267837924,0.00223558094354,0.00991240998947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123191537519,0.0124552954697,0.64268809,0.0,0.0,0.0265083056195,0.0,0.0285700163171,0.0265128877542,0.111796717812,0.387309510031,0.012915112799,0.0160291689024,0.0160291689024,0.010557248711,0.0114200127346,0.135478510098,0.186929759087,0.0228939035584,0.00047639560324,0.96244561,0.505434408146,0.000851751954954,0.0228687627103,0.000307088408446,0.50629096514,0.00132773098841,0.00224594987749,0.114451396307,0.0382630630183
"[[ cuSolverSp_LinearSolver ]] void cusparseIinclusive_scan_merge_core<int=256, int=4>(int, int, int*, int*, int*)",0.0442235229698,0.044743461594,1.59763874577e-06,0.0105657055182,0.0209104768745,0.0,0.0,0.18366228125,0.09319196875,4.1715162281e-08,5.89211305315e-07,0.0,0.0,2.55712197146e-07,2.94000409347e-06,6.38227239286e-06,3.15507746617e-06,0.0102312111889,0.016781790186,0.00537131625763,0.0134310753915,0.0215530793396,0.00222228279451,0.00317628792163,0.0,0.0,0.000625120770783,8.40277703162e-05,1.61019175387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65211517254e-07,7.94984433431e-07,0.94301471,0.0,0.0,2.85175869841e-07,0.0,7.76277535637e-08,1.49736868376e-07,8.20716506569e-07,0.0,7.80699268786e-07,3.26368993727e-07,3.26368993727e-07,4.04556736219e-07,6.83458649117e-07,0.0,0.0,4.04096791431e-07,2.93528873012e-06,1.0,0.00871741586535,0.00995088886953,3.17465805923e-07,2.93586925867e-06,0.0123423280972,0.0103117383078,0.0,0.0,0.016443964368
