==27957== NVPROF is profiling process 27957, command: ./backprop 65536
==27957== Profiling application: ./backprop 65536
==27957== Profiling result:
"Start","Duration","Name"
ms,ms,
129.615896,1.117000e-03,"cuDeviceGetAttribute"
129.618201,1.047000e-03,"cuDeviceGetAttribute"
129.620505,1.048000e-03,"cuDeviceGetAttribute"
129.622810,1.048000e-03,"cuDeviceGetAttribute"
129.625045,1.118000e-03,"cuDeviceGetAttribute"
129.627350,1.187000e-03,"cuDeviceGetAttribute"
129.629725,1.047000e-03,"cuDeviceGetAttribute"
129.632029,1.048000e-03,"cuDeviceGetAttribute"
129.634334,1.117000e-03,"cuDeviceGetAttribute"
129.636639,1.047000e-03,"cuDeviceGetAttribute"
129.638944,1.047000e-03,"cuDeviceGetAttribute"
129.641248,1.048000e-03,"cuDeviceGetAttribute"
129.643483,1.188000e-03,"cuDeviceGetAttribute"
129.645858,1.047000e-03,"cuDeviceGetAttribute"
129.648163,1.117000e-03,"cuDeviceGetAttribute"
129.650467,1.118000e-03,"cuDeviceGetAttribute"
129.652772,1.118000e-03,"cuDeviceGetAttribute"
129.655147,1.047000e-03,"cuDeviceGetAttribute"
129.657382,1.117000e-03,"cuDeviceGetAttribute"
129.659686,1.118000e-03,"cuDeviceGetAttribute"
129.661991,1.118000e-03,"cuDeviceGetAttribute"
129.664296,1.048000e-03,"cuDeviceGetAttribute"
129.666601,1.327000e-03,"cuDeviceGetAttribute"
129.669115,1.117000e-03,"cuDeviceGetAttribute"
129.671420,1.117000e-03,"cuDeviceGetAttribute"
129.673725,1.117000e-03,"cuDeviceGetAttribute"
129.676099,1.048000e-03,"cuDeviceGetAttribute"
129.678404,1.048000e-03,"cuDeviceGetAttribute"
129.680709,1.047000e-03,"cuDeviceGetAttribute"
129.683013,1.048000e-03,"cuDeviceGetAttribute"
129.685318,1.048000e-03,"cuDeviceGetAttribute"
129.687623,1.117000e-03,"cuDeviceGetAttribute"
129.689928,1.047000e-03,"cuDeviceGetAttribute"
129.692232,1.048000e-03,"cuDeviceGetAttribute"
129.694537,1.048000e-03,"cuDeviceGetAttribute"
129.696772,0.229499,"cuDeviceGetAttribute"
129.928436,1.187000e-03,"cuDeviceGetAttribute"
129.930950,1.117000e-03,"cuDeviceGetAttribute"
129.933255,1.117000e-03,"cuDeviceGetAttribute"
129.935629,1.048000e-03,"cuDeviceGetAttribute"
129.937864,1.048000e-03,"cuDeviceGetAttribute"
129.940169,1.117000e-03,"cuDeviceGetAttribute"
129.942544,1.117000e-03,"cuDeviceGetAttribute"
129.944848,1.118000e-03,"cuDeviceGetAttribute"
129.947223,1.048000e-03,"cuDeviceGetAttribute"
129.949458,1.117000e-03,"cuDeviceGetAttribute"
129.951763,1.117000e-03,"cuDeviceGetAttribute"
129.954067,1.118000e-03,"cuDeviceGetAttribute"
129.956372,1.048000e-03,"cuDeviceGetAttribute"
129.958677,1.048000e-03,"cuDeviceGetAttribute"
129.960912,1.117000e-03,"cuDeviceGetAttribute"
129.963217,1.047000e-03,"cuDeviceGetAttribute"
129.965452,1.117000e-03,"cuDeviceGetAttribute"
129.967826,1.118000e-03,"cuDeviceGetAttribute"
129.970131,1.048000e-03,"cuDeviceGetAttribute"
129.972436,0.228451,"cuDeviceGetAttribute"
130.202982,1.187000e-03,"cuDeviceGetAttribute"
130.205426,1.048000e-03,"cuDeviceGetAttribute"
130.207731,1.048000e-03,"cuDeviceGetAttribute"
130.209966,1.117000e-03,"cuDeviceGetAttribute"
130.212271,1.117000e-03,"cuDeviceGetAttribute"
130.214575,1.048000e-03,"cuDeviceGetAttribute"
130.216810,1.118000e-03,"cuDeviceGetAttribute"
130.224633,173.616315,"cudaMalloc"
303.843463,0.148133,"cudaMalloc"
303.993063,0.149530,"cudaMalloc"
304.143990,0.149460,"cudaMalloc"
304.321736,0.086254,"cudaMemcpy"
304.409247,0.992094,"cudaMemcpy"
305.404694,2.165000e-03,"cudaConfigureCall"
305.408884,2.934000e-03,"cudaSetupArgument"
305.412656,8.380000e-04,"cudaSetupArgument"
305.414332,1.048000e-03,"cudaSetupArgument"
305.416218,7.680000e-04,"cudaSetupArgument"
305.417824,7.680000e-04,"cudaSetupArgument"
305.419360,7.690000e-04,"cudaSetupArgument"
305.422643,0.026260,"cudaLaunch (bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int) [190])"
305.451208,0.258343,"cudaThreadSynchronize"
305.711297,1.048000e-03,"cudaGetLastError"
305.713253,0.225727,"cudaMemcpy"
306.063367,0.015854,"cudaMalloc"
306.080199,0.180609,"cudaMalloc"
306.262415,0.016133,"cudaMemcpy"
306.279596,0.935314,"cudaMemcpy"
307.216726,1.009137,"cudaMemcpy"
308.227888,1.537000e-03,"cudaConfigureCall"
308.230751,1.327000e-03,"cudaSetupArgument"
308.232847,8.380000e-04,"cudaSetupArgument"
308.234453,8.380000e-04,"cudaSetupArgument"
308.236059,8.390000e-04,"cudaSetupArgument"
308.237666,7.680000e-04,"cudaSetupArgument"
308.239272,7.680000e-04,"cudaSetupArgument"
308.242275,0.032477,"cudaLaunch (bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*) [206])"
308.276078,0.566203,"cudaMemcpy"
308.843608,1.214330,"cudaMemcpy"
310.061430,0.173067,"cudaFree"
310.235964,0.011314,"cudaFree"
310.248256,0.122781,"cudaFree"
310.372364,0.122013,"cudaFree"
310.495703,0.121315,"cudaFree"
310.618345,0.119847,"cudaFree"
